word	nodeType	synsetCount	unit	count
-	ADJ	0	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
about	ADJ	8	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	4
actual	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
adorable	ADJ	1	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
alive	ADJ	7	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	2
annoying	ADJ	3	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
bad	ADJ	17	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	4
beautiful	ADJ	2	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	3
believable	ADJ	1	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
big	ADJ	17	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
broad	ADJ	9	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
careful	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
certain	ADJ	7	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
cheap	ADJ	4	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
close	ADJ	37	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	7
cowardly	ADJ	1	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
dangerous	ADJ	2	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
dark	ADJ	16	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
dead	ADJ	21	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
deceased	ADJ	3	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
different	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
dumbass	ADJ	1	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
excellent	ADJ	1	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
extra	ADJ	7	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
fake	ADJ	8	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
fine	ADJ	10	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
friggin	ADJ	0	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	2
glad	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	2
good	ADJ	27	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	9
great	ADJ	7	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
hard	ADJ	22	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
hot	ADJ	21	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
important	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	2
impossible	ADJ	4	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
inside	ADJ	10	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	2
interested	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
internal	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	8
intriguing	ADJ	4	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
left	ADJ	24	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	2
li'l	ADJ	0	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
little	ADJ	10	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	3
main	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	41
many	ADJ	1	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	1
more	ADJ	5	04x26_-_A_Little_Story_From_The_Past__My_Name_Is_Doppio_	2
